workspace_id,name,address_name,x,y,img_url,area_group,type
128,도담관리형스터디카페,전남 목포시 통일대로37번길 20,126.4278958,34.80048398,http://place.map.kakao.com/1736390584,전라도,workspace
129,바른스터디카페,전남 무안군 청계면 승달산길 25,126.4325201,34.90976576,http://place.map.kakao.com/1398066845,전라도,workspace
130,어반트리스터디카페,전남 목포시 옥암로 173,126.4222835,34.8134574,http://place.map.kakao.com/2026348659,전라도,workspace
131,바른스터디카페,전남 무안군 삼향읍 남악4로82번길 19,126.4680788,34.81311996,http://place.map.kakao.com/1462527129,전라도,workspace
132,비허밍스터디카페 무안성남점,전남 무안군 무안읍 면성1길 136-14,126.47155,34.98716007,http://place.map.kakao.com/1862515073,전라도,workspace
133,열공스터디카페,전남 함평군 함평읍 서부길 113,126.5208099,35.06339314,http://place.map.kakao.com/649616778,전라도,workspace
134,미가람스터디카페 영광점,전남 영광군 영광읍 중앙로3길 5,126.5123854,35.27350148,http://place.map.kakao.com/919162214,전라도,workspace
135,작심스터디카페 서산예천점,충남 서산시 예천1로 26,126.4470139,36.76889875,http://place.map.kakao.com/80904209,충청도,workspace
136,인베이스터디카페 서산점,충남 서산시 율지18로 33,126.4649928,36.77860476,http://place.map.kakao.com/651826556,충청도,workspace
137,시작스터디카페 서산석림점,충남 서산시 동서1로 65,126.4628876,36.76853353,http://place.map.kakao.com/1518846134,충청도,workspace
138,스터디E,충남 서산시 고운로 275-5,126.4655675,36.78473305,http://place.map.kakao.com/1783521648,충청도,workspace
139,작심스터디카페 서산동문점,충남 서산시 고운로 275-9,126.465449,36.78517586,http://place.map.kakao.com/1091284945,충청도,workspace
140,온에어스터디카페,충남 보령시 한내로 16,126.6055085,36.34748577,http://place.map.kakao.com/96474874,충청도,workspace
141,플래닛스터디 카페 서산점,충남 서산시 석림3로 2,126.464369,36.77068845,http://place.map.kakao.com/1398077685,충청도,workspace
142,NU스터디카페,충남 서산시 번화2로 38,126.4530487,36.78105101,http://place.map.kakao.com/61986823,충청도,workspace
143,바짝스터디카페,충남 서산시 예천2로 12,126.4440945,36.77115142,http://place.map.kakao.com/53451627,충청도,workspace
144,하우스터디 당진스터디카페,충남 당진시 서해로 5748,126.6266146,36.8972283,http://place.map.kakao.com/801552374,충청도,workspace
145,써밋스터디카페,충남 보령시 한내로 36,126.6072498,36.34634251,http://place.map.kakao.com/1034609887,충청도,workspace
146,스터디카페오버컴,충남 보령시 지장골길 79,126.6023376,36.35918602,http://place.map.kakao.com/2048664495,충청도,workspace
147,초심스터디카페 서산점,충남 서산시 안견로 415,126.4428401,36.78197232,http://place.map.kakao.com/2086427379,충청도,workspace
148,독고스터디카페,충남 서산시 예천1로 3-57,126.4475013,36.76763315,http://place.map.kakao.com/53368965,충청도,workspace
149,바짝스터디카페 성연센터,충남 서산시 성연면 성연3로 31,126.4515173,36.82222877,http://place.map.kakao.com/178255710,충청도,workspace
150,올플러스스터디카페,충남 서산시 지곡면 무장길 453-6,126.4452684,36.84430276,http://place.map.kakao.com/1971499040,충청도,workspace
151,엘리시움스터디카페,충남 보령시 명천중앙길 8,126.602132,36.34375813,http://place.map.kakao.com/2051233284,충청도,workspace
152,시작스터디카페 서산테크노밸리점,충남 서산시 성연면 성연3로 45,126.4505705,36.82328589,http://place.map.kakao.com/1553136663,충청도,workspace
153,기가스터디카페,충남 보령시 한내로 41,126.608094,36.34639484,http://place.map.kakao.com/1767117596,충청도,workspace
154,스터디카페오버컴,충남 보령시 명천로 91,126.6072074,36.33616359,http://place.map.kakao.com/2146046293,충청도,workspace
155,코코스터디카페독서실,충남 태안군 태안읍 중앙로 151,126.3047313,36.75036191,http://place.map.kakao.com/1043156413,충청도,workspace
